post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,667,92,armanified,2026-04-06 19:32:12,0.1377245508982036,True
47658146,France pulls last gold held in US for $15B gain,technology,325,188,teleforce,2026-04-06 19:32:12,0.5766871165644172,True
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,181,120,keepamovin,2026-04-06 19:32:12,0.6593406593406593,False
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,166,13,karimf,2026-04-06 19:32:12,0.07784431137724551,False
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,72,23,stevebmark,2026-04-06 19:32:12,0.3150684931506849,False
47637377,LÖVE: 2D Game Framework for Lua,sports,347,170,cl3misch,2026-04-06 19:32:12,0.4885057471264368,True
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,322,77,vbtechguy,2026-04-06 19:32:12,0.23839009287925697,True
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,266,163,nevernothing,2026-04-06 19:32:12,0.6104868913857678,True
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,111,17,ikessler,2026-04-06 19:32:12,0.15178571428571427,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,94,42,salt4034,2026-04-06 19:32:12,0.4421052631578947,False
47652322,Music for Programming,entertainment,254,113,merusame,2026-04-06 19:32:12,0.44313725490196076,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,74,16,mohshomis,2026-04-06 19:32:12,0.21333333333333335,False
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,317,179,thisislife2,2026-04-06 19:32:12,0.5628930817610063,True
47650312,A tail-call interpreter in (nightly) Rust,technology,182,42,g0xA52A2A,2026-04-06 19:32:12,0.22950819672131148,False
47648828,"Eight years of wanting, three months of building with AI",technology,843,264,brilee,2026-04-06 19:32:12,0.3127962085308057,True
47650502,Computational Physics (2nd Edition) (2025),science,161,19,teleforce,2026-04-06 19:32:12,0.11728395061728394,False
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,193,26,desideratum,2026-04-06 19:32:12,0.13402061855670103,False
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,177,51,MoltenMonster,2026-04-06 19:32:12,0.28651685393258425,False
47656335,Does coding with LLMs mean more microservices?,technology,49,49,jer0me,2026-04-06 19:32:12,0.98,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,894,586,zaikunzhang,2026-04-06 19:32:12,0.6547486033519553,True
47640728,Show HN: A game where you build a GPU,technology,924,180,Jaso1024,2026-04-06 19:32:12,0.1945945945945946,True
47658388,NIMBY Rails,technology,27,3,altilunium,2026-04-06 19:32:12,0.10714285714285714,False
